allele,anchor,n_raw,n_phase1,n_phase2,kl_raw,kl_phase1,kl_phase2,kl_reduction_pct
PATRB0401,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
PATRB0901,anchor2_last,3,3,2,2.3591,2.3591,2.3025,2.4
PATRC06010101,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
SLA20502,anchor2_last,2,2,2,2.3025,2.3025,2.3025,0.0
HLAB39310101,anchor2_last,12,12,8,2.0126,2.0126,2.2601,-12.3
HLAC03070101,anchor2_last,30,30,14,2.0908,2.0908,2.2407,-7.17
PATRA0101,anchor2_last,109,109,53,2.2955,2.2955,2.2221,3.2
BOLA300101,anchor2_last,9,9,7,2.312,2.312,2.1994,4.87
MAMUB00101,anchor2_last,83,83,21,2.0223,2.0223,2.1957,-8.57
PATRB0101,anchor2_last,190,190,133,2.1538,2.1538,2.1572,-0.16
MAMUB08301,anchor2_last,219,219,114,1.9629,1.9629,2.0507,-4.47
MAMUB090010101,anchor2_last,71,71,47,2.1141,2.1141,2.0393,3.54
BOLA300201,anchor2_last,33,33,21,2.0796,2.0796,2.0175,2.99
HLAB15312,anchor2_last,41,41,18,1.8569,1.8569,1.9694,-6.06
HLAA0319,anchor2_last,14,14,8,2.04,2.04,1.956,4.12
HLAA02090101,anchor2_last,6,6,5,1.9843,1.9843,1.9408,2.19
HLAA023501,anchor2_last,6,6,5,1.9843,1.9843,1.9408,2.19
HLAA2615,anchor2_last,7,7,5,1.7187,1.7187,1.9408,-12.92
MAMUA200102,anchor2_last,29,29,15,1.6419,1.6419,1.9408,-18.21
HLAB180401,anchor2_last,13,13,8,1.8387,1.8387,1.9222,-4.54
HLAA24100101,anchor2_last,10,10,6,1.7159,1.7159,1.8971,-10.56
HLAA2614,anchor2_last,3,3,3,1.897,1.897,1.897,0.0
HLAA68080101,anchor2_last,6,6,3,1.666,1.666,1.897,-13.87
HLAB15211,anchor2_last,4,4,3,1.9559,1.9559,1.897,3.01
HLAB1806,anchor2_last,4,4,3,1.9559,1.9559,1.897,3.01
HLAB3523,anchor2_last,4,4,3,1.9559,1.9559,1.897,3.01
HLAB4422,anchor2_last,3,3,3,1.897,1.897,1.897,0.0
HLAC07170101,anchor2_last,6,6,3,1.435,1.435,1.897,-32.2
HLAC0795,anchor2_last,6,6,3,1.9843,1.9843,1.897,4.4
PATRB03020101,anchor2_last,4,4,3,1.9559,1.9559,1.897,3.01
PATRB160101,anchor2_last,4,4,3,1.9559,1.9559,1.897,3.01
HLAB39020101,anchor2_last,27,27,19,1.9039,1.9039,1.8602,2.3
MAMUB05201,anchor2_last,547,547,91,1.7684,1.7684,1.8357,-3.81
HLAB0802,anchor2_last,39,39,18,1.8897,1.8897,1.8019,4.65
HLAB38020101,anchor2_last,2552,1000,39,1.6851,1.7084,1.7836,-4.4
HLAB150901,anchor2_last,58,58,14,1.8201,1.8201,1.7803,2.19
HLAC08030101,anchor2_last,41,41,15,1.4419,1.4419,1.7322,-20.14
HLAB3805,anchor2_last,30,30,16,1.788,1.788,1.732,3.13
HLAB35020101,anchor2_last,1715,1000,41,1.7803,1.7559,1.7294,1.51
HLAA6806,anchor2_last,12,12,7,1.6377,1.6377,1.7187,-4.94
HLAB570401,anchor2_last,30,30,15,1.5409,1.5409,1.7088,-10.9
HLAB5302,anchor2_last,8,8,5,1.5015,1.5015,1.6635,-10.79
HLAB0809,anchor2_last,12,12,7,1.7097,1.7097,1.6439,3.85
HLAB1553,anchor2_last,10,10,7,1.4909,1.4909,1.6439,-10.26
EQCA1600101,anchor2_last,38,38,22,1.5457,1.5457,1.6322,-5.59
HLAB1302,anchor2_last,7330,1000,216,1.658,1.6765,1.627,2.95
HLAA022401,anchor2_last,5,5,4,1.6635,1.6635,1.6094,3.25
HLAA66030101,anchor2_last,4,4,4,1.6094,1.6094,1.6094,0.0
HLAB1568,anchor2_last,9,9,4,1.5686,1.5686,1.6094,-2.6
HLAB4805,anchor2_last,5,5,4,1.3862,1.3862,1.6094,-16.1
HLAB5806,anchor2_last,12,12,8,1.4786,1.4786,1.6094,-8.85
HLAC1212,anchor2_last,5,5,4,1.3862,1.3862,1.6094,-16.1
HLAB3577,anchor2_last,22,22,11,1.566,1.566,1.606,-2.56
MAMUB00301,anchor2_last,309,309,13,0.9184,0.9184,1.5852,-72.6
HLAB072201,anchor2_last,17,17,11,1.6519,1.6519,1.5814,4.27
MAMUB06601,anchor2_last,73,73,27,1.3942,1.3942,1.5629,-12.09
HLAB51020101,anchor2_last,27,27,18,1.5655,1.5655,1.5552,0.66
HLAB35120101,anchor2_last,29,29,12,1.3029,1.3029,1.5505,-19.0
HLAA1110,anchor2_last,174,174,64,1.5123,1.5123,1.529,-1.11
HLAA24170101,anchor2_last,11,11,7,1.4554,1.4554,1.5206,-4.48
HLAB4013,anchor2_last,53,53,33,1.5197,1.5197,1.4967,1.51
PATRA0301,anchor2_last,61,61,28,1.4936,1.4936,1.4954,-0.12
HLAC16020101,anchor2_last,22,22,10,1.469,1.469,1.4909,-1.49
HLAB15050101,anchor2_last,49,49,22,1.5046,1.5046,1.48,1.63
HLAA2423,anchor2_last,56,56,12,1.2425,1.2425,1.4503,-16.73
HLAB56040101,anchor2_last,17,17,8,1.1867,1.1867,1.4361,-21.02
HLAC050901,anchor2_last,12,12,8,1.3631,1.3631,1.4361,-5.36
HLAB2701,anchor2_last,3713,1000,9,0.9013,0.9144,1.4146,-54.7
HLAB4406,anchor2_last,12,12,5,1.1756,1.1756,1.3862,-17.91
